notice_no,title,ordering_agency,posted_at,deadline_at,budget_amount,notice_url,detail_content,attachment_urls
20260702001-00,도로명주소 주소DB 정제 및 주소검색 API 고도화 용역,서울특별시,2026-07-02 09:00:00,2026-07-15 17:00:00,180000000,https://www.g2b.go.kr:8101/ep/tbid/tbidFwd.do?bidno=20260702001&bidseq=00&bidtype=1,"도로명주소 주소DB 품질점검, 주소정제, 주소매칭, 주소검색 API 성능 개선 및 주소정합성 검증을 수행한다.",
20260702002-00,주소정보시설 건물번호판 및 도로명판 일제조사 사업,부산광역시,2026-07-02 10:30:00,2026-07-18 18:00:00,240000000,https://www.g2b.go.kr:8101/ep/tbid/tbidFwd.do?bidno=20260702002&bidseq=00&bidtype=1,"건물번호판, 도로명판, 기초번호판 등 주소정보시설 현장조사와 DB 현행화 업무를 포함한다.",
20260702003-00,공공청사 실내공간정보 및 Indoor Map 구축,행정안전부,2026-07-02 11:00:00,2026-07-22 16:00:00,320000000,https://www.g2b.go.kr:8101/ep/tbid/tbidFwd.do?bidno=20260702003&bidseq=00&bidtype=1,"실내공간정보, Indoor GIS, Indoor Map 데이터를 구축하고 층별 전자지도와 공간DB를 연계한다.",
20260702004-00,AI 기반 주소데이터 품질관리 플랫폼 구축,한국지역정보개발원,2026-07-02 13:00:00,2026-07-21 17:00:00,410000000,https://www.g2b.go.kr:8101/ep/tbid/tbidFwd.do?bidno=20260702004&bidseq=00&bidtype=1,"인공지능과 LLM을 활용해 주소데이터 오류 탐지, 주소표준화, 데이터 품질관리, OpenAPI 연계를 구현한다.",
20260702005-00,LiDAR 기반 3차원 공간정보 및 BIM 연계 시범사업,국토지리정보원,2026-07-01 14:00:00,2026-07-19 17:00:00,380000000,https://www.g2b.go.kr:8101/ep/tbid/tbidFwd.do?bidno=20260702005&bidseq=00&bidtype=1,"라이다, 3차원 공간정보, BIM 모델을 활용해 공공시설 디지털트윈 기반 데이터를 구축한다.",
20260702006-00,드론 항공촬영 기반 재난안전 지도 제작,강원특별자치도,2026-07-02 08:40:00,2026-07-12 17:00:00,90000000,https://www.g2b.go.kr:8101/ep/tbid/tbidFwd.do?bidno=20260702006&bidseq=00&bidtype=1,"드론과 UAV 항공촬영 자료를 활용해 재난안전 현장 대응용 지도 자료를 제작한다.",
20260702007-00,스마트도시 물류 배송 데이터 연계 서비스 구축,인천광역시,2026-07-01 09:20:00,2026-07-17 17:00:00,150000000,https://www.g2b.go.kr:8101/ep/tbid/tbidFwd.do?bidno=20260702007&bidseq=00&bidtype=1,"스마트도시 물류, 배송, 라스트마일 데이터를 API 연계 방식으로 통합하고 운영 대시보드를 구축한다.",
20260702008-00,내부 업무포털 웹서비스 유지보수 용역,대전광역시,2026-07-02 15:00:00,2026-07-10 17:00:00,55000000,https://www.g2b.go.kr:8101/ep/tbid/tbidFwd.do?bidno=20260702008&bidseq=00&bidtype=1,"일반 정보시스템과 웹서비스 유지보수, 운영지원 업무를 수행한다.",
20260702009-00,청사 청소 및 미화 관리 용역,경기도,2026-07-02 09:30:00,2026-07-09 17:00:00,70000000,https://www.g2b.go.kr:8101/ep/tbid/tbidFwd.do?bidno=20260702009&bidseq=00&bidtype=1,"청사 청소, 미화, 방역 등 시설관리 서비스를 제공한다.",
20260702010-00,지역축제 행사 운영 및 홍보물 인쇄 용역,전라남도,2026-07-02 10:00:00,2026-07-11 17:00:00,65000000,https://www.g2b.go.kr:8101/ep/tbid/tbidFwd.do?bidno=20260702010&bidseq=00&bidtype=1,"행사 운영, 홍보물 제작, 인쇄물 납품을 포함한다.",
